Provinsi,Jenis Hutan,Bahan Baku,Kelompok Kayu Bulat,Jenis Kayu Olahan,Produk Ekspor,Volume(m3)
Lampung,IUPHHK RE,Setengah Jadi,Jenis Khusus,Kayu Gergajian,Furnitur Kayu,5647.28
Maluku,IUPHHK HA,Kayu Alam,Kayu Indah,Kayu Gergajian,Pulp,828.92
Maluku Utara,Hutan Produksi,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Panel,1156.43
Papua,HKM HD HTR,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,10020.16
Papua Barat,IUPHHK HTI,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Kerajinan,3400.59
Riau,HKM HD Kemitraan,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Veneer,8533.61
Sulawesi Selatan,IUPHHK RE,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Chipwood,1528.06
Sulawesi Tengah,Hutan Lindung,Kayu Alam,Jenis Khusus,Kayu Gergajian,Veneer,2433.88
Sulawesi Tenggara,UPHHK HTR,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Veneer,711.08
Sumatera Barat,IUPHHK HTI,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,238.5
Sumatera Selatan,Hutan Lindung,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Chipwood,1242.06
Sumatera Utara,IUPHHK HTI,Kayu Alam,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,22955.27
Aceh,Hutan Produksi,Kayu Alam,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,146.9
Bali,HKM HD HTR,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Panel,312.52
Banten,HKM HD HTR,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Panel,2244.78
Bengkulu,UPHHK HTR,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Pulp,365.83
Daerah Istimewa Yogyakarta,IUPHHK HA,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Panel,366.92
Gorontalo,HKM HD HTR,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Kerajinan,20.22
Jambi,Hutan Produksi,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Woodworking,1582.58
Jawa Barat,UPHHK HTR,Limbah,Hutan Tanaman Industri,Kayu Gergajian,Woodworking,2192.27
Jawa Tengah,Hutan Lindung,Limbah,Hutan Tanaman Industri,Kayu Gergajian,Paper,33968.46
Jawa Timur,IUPHHK RE,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Pulp,54536.5
Kalimantan Barat,IUPHHK HA,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,763.43
Kalimantan Selatan,UPHHK HTR,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Pulp,3156.78
Kalimantan Tengah,IUPHHK RE,Kayu Alam,Kayu Eboni,Kayu Gergajian,Woodworking,4511.53
Kalimantan Timur,IUPHHK HTI,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,3085.68
Kalimantan Utara,IUPHHK HA,Limbah,Rimba Campuran,Kayu Gergajian,Paper,1784.52
Kepulauan Riau,UPHHK HTR,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Woodworking,153.67
Lampung,IUPHHK RE,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Kerajinan,3048.66
Maluku,HKM HD Kemitraan,Kayu Alam,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,279.45
Maluku Utara,UPHHK HTR,Limbah,Rimba Campuran,Kayu Gergajian,Pulp,599.21
Papua,IUPHHK HA,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Woodworking,8107.77
Papua Barat,HKM HD HTR,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Woodworking,3366.98
Riau,IUPHHK RE,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,7564.92
Sulawesi Selatan,Hutan Produksi,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Panel,932.67
Sulawesi Tengah,HKM HD HTR,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,1219.66
Sulawesi Tenggara,UPHHK HTR,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,289.36
Sumatera Barat,HKM HD Kemitraan,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,48.45
Sumatera Selatan,HKM HD HTR,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Panel,1197.35
Sumatera Utara,UPHHK HTR,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Pulp,15069.22
Aceh,Hutan Produksi,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Panel,58.56
Bali,UPHHK HTR,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,570.73
Banten,HKM HD Kemitraan,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,2191.62
Bengkulu,HKM HD Kemitraan,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Pulp,1039.44
Daerah Istimewa Yogyakarta,UPHHK HTR,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Paper,592.65
Gorontalo,IUPHHK RE,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Paper,106.47
Jambi,UPHHK HTR,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Chipwood,3002.34
Jawa Barat,HKM HD Kemitraan,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Panel,2792.61
Jawa Tengah,Hutan Produksi,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,58477.52
Jawa Timur,IUPHHK HTI,Limbah,Jenis Khusus,Kayu Gergajian,Pulp,88447.85
Kalimantan Barat,Hutan Lindung,Limbah,Kayu Indah,Kayu Gergajian,Chipwood,1241.61
Kalimantan Selatan,HKM HD HTR,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Chipwood,6470.98
Kalimantan Tengah,HKM HD HTR,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Paper,7924.95
Kalimantan Timur,IUPHHK HA,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Pulp,7800.62
Kalimantan Utara,UPHHK HTR,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,3275.99
Kepulauan Riau,IUPHHK HTI,Kayu Alam,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,224.99
Lampung,IUPHHK HA,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,6325.19
Maluku,IUPHHK HTI,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Panel,598.3
Maluku Utara,IUPHHK HA,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,665.07
Papua,IUPHHK HTI,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Pulp,14039.39
Papua Barat,HKM HD Kemitraan,Limbah,Jenis Khusus,Kayu Gergajian,Kerajinan,7221.91
Riau,HKM HD HTR,Limbah,Kayu Eboni,Kayu Gergajian,Kerajinan,8450.87
Sulawesi Selatan,Hutan Lindung,Limbah,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,1376.35
Sulawesi Tengah,HKM HD HTR,Setengah Jadi,Kayu Indah,Kayu Gergajian,Woodworking,2568.06
Sulawesi Tenggara,Hutan Lindung,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Kerajinan,1195.8
Sumatera Barat,UPHHK HTR,Limbah,Jenis Khusus,Kayu Gergajian,Kerajinan,57.64
Sumatera Selatan,HKM HD Kemitraan,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,1278.03
Sumatera Utara,IUPHHK HA,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Kerajinan,25987.7
Aceh,UPHHK HTR,Limbah,Kelompok Meranti,Kayu Gergajian,Paper,91.61
Bali,Hutan Produksi,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Veneer,566.37
Banten,IUPHHK HA,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Paper,1753.1
Bengkulu,IUPHHK RE,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Veneer,1288.43
Daerah Istimewa Yogyakarta,Hutan Lindung,Setengah Jadi,Jenis Khusus,Kayu Gergajian,Woodworking,424.26
Gorontalo,IUPHHK HA,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,0.0
Jambi,IUPHHK RE,Setengah Jadi,Jenis Khusus,Kayu Gergajian,Kerajinan,3264.34
Jawa Barat,Hutan Produksi,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,2232.86
Jawa Tengah,IUPHHK HA,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,53427.94
Jawa Timur,UPHHK HTR,Limbah,Rimba Campuran,Kayu Gergajian,Panel,85655.88
Kalimantan Barat,HKM HD HTR,Kayu Alam,Rimba Campuran,Kayu Gergajian,Chipwood,1244.82
Kalimantan Selatan,IUPHHK HA,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Panel,4845.84
Kalimantan Tengah,IUPHHK HA,Limbah,Kelompok Meranti,Kayu Gergajian,Furnitur Kayu,5909.47
Kalimantan Timur,Hutan Produksi,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Panel,5542.85
Kalimantan Utara,IUPHHK HA,Kayu Alam,Kayu Eboni,Kayu Gergajian,Paper,3808.37
Kepulauan Riau,IUPHHK HA,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Paper,136.87
Lampung,UPHHK HTR,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Panel,6095.72
Maluku,HKM HD HTR,Limbah,Jenis Khusus,Kayu Gergajian,Furnitur Kayu,567.5
Maluku Utara,Hutan Produksi,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Pulp,773.82
Papua,HKM HD Kemitraan,Limbah,Kayu Eboni,Kayu Gergajian,Chipwood,11043.19
Papua Barat,HKM HD HTR,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Woodworking,9530.1
Riau,Hutan Produksi,Limbah,Kayu Eboni,Kayu Gergajian,Woodworking,8925.68
Sulawesi Selatan,HKM HD Kemitraan,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,957.53
Sulawesi Tengah,IUPHHK RE,Kayu Alam,Jenis Khusus,Kayu Gergajian,Chipwood,2061.61
Sulawesi Tenggara,IUPHHK RE,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,949.01
Sumatera Barat,IUPHHK HTI,Setengah Jadi,Kayu Indah,Kayu Gergajian,Kerajinan,98.45
Sumatera Selatan,IUPHHK HA,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Chipwood,1243.65
Sumatera Utara,HKM HD Kemitraan,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Pulp,25039.73
Aceh,HKM HD Kemitraan,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Chipwood,412.89
Bali,HKM HD HTR,Kayu Tanaman,Kayu Eboni,Kayu Gergajian,Paper,779.92
Banten,HKM HD HTR,Setengah Jadi,Kayu Indah,Kayu Gergajian,Veneer,2341.82
Bengkulu,IUPHHK HA,Kayu Alam,Kayu Eboni,Kayu Gergajian,Kerajinan,1146.41
Daerah Istimewa Yogyakarta,IUPHHK HA,Kayu Alam,Kayu Eboni,Kayu Gergajian,Veneer,599.17
Gorontalo,IUPHHK RE,Kayu Tanaman,Jenis Khusus,Kayu Gergajian,Pulp,70.67
Jambi,UPHHK HTR,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,2387.51
Jawa Barat,Hutan Lindung,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,2995.8
Jawa Tengah,IUPHHK HA,Kayu Alam,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,52146.65
Jawa Timur,UPHHK HTR,Kayu Alam,Rimba Campuran,Kayu Gergajian,Veneer,88630.72
Kalimantan Barat,IUPHHK HA,Limbah,Kelompok Meranti,Kayu Gergajian,Kerajinan,1014.13
Kalimantan Selatan,Hutan Lindung,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Chipwood,3007.43
Kalimantan Tengah,Hutan Produksi,Kayu Tanaman,Rimba Campuran,Kayu Gergajian,Paper,8779.39
Kalimantan Timur,Hutan Produksi,Kayu Tanaman,Kelompok Meranti,Kayu Gergajian,Woodworking,7507.63
Kalimantan Utara,HKM HD HTR,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,3297.18
Kepulauan Riau,IUPHHK HA,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Pulp,0.0
Lampung,IUPHHK RE,Kayu Alam,Kayu Eboni,Kayu Gergajian,Veneer,5790.8
Maluku,IUPHHK HTI,Kayu Alam,Kayu Eboni,Kayu Gergajian,Veneer,367.74
Maluku Utara,Hutan Produksi,Limbah,Kayu Eboni,Kayu Gergajian,Woodworking,129.44
Papua,Hutan Lindung,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,13826.48
Papua Barat,UPHHK HTR,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,11814.17
Riau,HKM HD HTR,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Panel,8914.97
Sulawesi Selatan,HKM HD Kemitraan,Limbah,Kelompok Meranti,Kayu Gergajian,Woodworking,1046.88
Sulawesi Tengah,IUPHHK HA,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,2447.63
Sulawesi Tenggara,HKM HD Kemitraan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Panel,1315.47
Sumatera Barat,Hutan Lindung,Kayu Alam,Kayu Eboni,Kayu Gergajian,Woodworking,269.61
Sumatera Selatan,HKM HD Kemitraan,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Bangunan Prefabrikasi,922.65
Sumatera Utara,Hutan Produksi,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Woodworking,25340.29
Aceh,HKM HD HTR,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,192.17
Bali,Hutan Lindung,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Paper,711.72
Banten,IUPHHK HA,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Woodworking,2763.04
Bengkulu,Hutan Produksi,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,1323.29
Daerah Istimewa Yogyakarta,IUPHHK HA,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Chipwood,636.36
Gorontalo,IUPHHK RE,Kayu Tanaman,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,40.09
Jambi,UPHHK HTR,Limbah,Hutan Tanaman Industri,Kayu Gergajian,Chipwood,2883.05
Jawa Barat,UPHHK HTR,Kayu Alam,Jenis Khusus,Kayu Gergajian,Panel,3520.61
Jawa Tengah,IUPHHK HA,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Panel,55829.0
Jawa Timur,HKM HD HTR,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,94196.58
Kalimantan Barat,HKM HD Kemitraan,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,910.48
Kalimantan Selatan,HKM HD HTR,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Paper,7187.96
Kalimantan Tengah,IUPHHK HA,Limbah,Kayu Indah,Kayu Gergajian,Woodworking,7271.55
Kalimantan Timur,HKM HD HTR,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Panel,6021.76
Kalimantan Utara,IUPHHK HTI,Limbah,Rimba Campuran,Kayu Gergajian,Kerajinan,3923.69
Kepulauan Riau,Hutan Produksi,Limbah,Jenis Khusus,Kayu Gergajian,Panel,159.91
Lampung,UPHHK HTR,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Bangunan Prefabrikasi,4743.91
Maluku,HKM HD HTR,Kayu Alam,Rimba Campuran,Kayu Gergajian,Panel,339.43
Maluku Utara,UPHHK HTR,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Pulp,1100.92
Papua,HKM HD Kemitraan,Kayu Alam,Hutan Tanaman Industri,Kayu Gergajian,Bangunan Prefabrikasi,13481.08
Papua Barat,Hutan Lindung,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,10203.11
Riau,IUPHHK HA,Setengah Jadi,Jenis Khusus,Kayu Gergajian,Woodworking,8748.5
Sulawesi Selatan,Hutan Lindung,Kayu Alam,Jenis Khusus,Kayu Gergajian,Veneer,1481.21
Sulawesi Tengah,IUPHHK HA,Setengah Jadi,Hutan Tanaman Industri,Kayu Gergajian,Kerajinan,2435.47
Sulawesi Tenggara,UPHHK HTR,Limbah,Kelompok Meranti,Kayu Gergajian,Kerajinan,2201.82
Sumatera Barat,IUPHHK HA,Kayu Alam,Rimba Campuran,Kayu Gergajian,Paper,360.95
Sumatera Selatan,IUPHHK HA,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,1373.8
Sumatera Utara,UPHHK HTR,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Panel,21725.33
Aceh,UPHHK HTR,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Pulp,255.07
Bali,HKM HD Kemitraan,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Furnitur Kayu,648.19
Banten,IUPHHK HA,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Kerajinan,2145.12
Bengkulu,Hutan Produksi,Limbah,Jenis Khusus,Kayu Gergajian,Furnitur Kayu,1205.43
Daerah Istimewa Yogyakarta,Hutan Produksi,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,593.59
Gorontalo,IUPHHK HA,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Woodworking,0.0
Jambi,Hutan Lindung,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Pulp,2807.38
Jawa Barat,Hutan Lindung,Limbah,Jenis Kayu Lainnya,Kayu Gergajian,Kerajinan,3629.49
Jawa Tengah,UPHHK HTR,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Paper,49643.71
Jawa Timur,IUPHHK HTI,Kayu Perkebunan,Kelompok Meranti,Kayu Gergajian,Chipwood,86738.41
Kalimantan Barat,HKM HD HTR,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Paper,167.06
Kalimantan Selatan,IUPHHK HTI,Kayu Alam,Jenis Khusus,Kayu Gergajian,Woodworking,4522.72
Kalimantan Tengah,IUPHHK RE,Setengah Jadi,Kayu Indah,Kayu Gergajian,Paper,8805.91
Kalimantan Timur,IUPHHK RE,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,9587.17
Kalimantan Utara,IUPHHK HA,Kayu Perkebunan,Kayu Indah,Kayu Gergajian,Woodworking,3776.88
Kepulauan Riau,Hutan Lindung,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Chipwood,171.86
Lampung,IUPHHK RE,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,4466.36
Maluku,UPHHK HTR,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Paper,531.59
Maluku Utara,IUPHHK HA,Setengah Jadi,Kayu Indah,Kayu Gergajian,Furnitur Kayu,534.84
Papua,IUPHHK RE,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Woodworking,10821.87
Papua Barat,UPHHK HTR,Limbah,Rimba Campuran,Kayu Gergajian,Veneer,10008.29
Riau,HKM HD HTR,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Panel,8422.84
Sulawesi Selatan,IUPHHK HA,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Pulp,899.85
Sulawesi Tengah,Hutan Lindung,Limbah,Jenis Khusus,Kayu Gergajian,Panel,2619.1
Sulawesi Tenggara,IUPHHK RE,Kayu Alam,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,1360.09
Sumatera Barat,HKM HD Kemitraan,Kayu Perkebunan,Hutan Tanaman Industri,Kayu Gergajian,Furnitur Kayu,491.15
Sumatera Selatan,Hutan Lindung,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Kerajinan,1842.35
Sumatera Utara,Hutan Produksi,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Furnitur Kayu,20576.39
Aceh,HKM HD HTR,Kayu Tanaman,Kayu Indah,Kayu Gergajian,Furnitur Kayu,155.55
Bali,HKM HD Kemitraan,Kayu Perkebunan,Jenis Kayu Lainnya,Kayu Gergajian,Veneer,741.16
Banten,UPHHK HTR,Setengah Jadi,Kayu Indah,Kayu Gergajian,Pulp,770.43
Bengkulu,Hutan Produksi,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Bangunan Prefabrikasi,673.83
Daerah Istimewa Yogyakarta,IUPHHK HA,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Veneer,509.13
Gorontalo,UPHHK HTR,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Kerajinan,53.41
Jambi,IUPHHK RE,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,2208.63
Jawa Barat,HKM HD HTR,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Panel,2511.13
Jawa Tengah,HKM HD Kemitraan,Kayu Alam,Jenis Khusus,Kayu Gergajian,Chipwood,47584.97
Jawa Timur,IUPHHK HTI,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Panel,83136.18
Kalimantan Barat,Hutan Lindung,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Furnitur Kayu,1912.07
Kalimantan Selatan,HKM HD HTR,Setengah Jadi,Rimba Campuran,Kayu Gergajian,Chipwood,6756.37
Kalimantan Tengah,HKM HD HTR,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Pulp,9514.75
Kalimantan Timur,IUPHHK HTI,Limbah,Kayu Eboni,Kayu Gergajian,Kerajinan,9788.63
Kalimantan Utara,Hutan Lindung,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Panel,2422.54
Kepulauan Riau,IUPHHK RE,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Chipwood,136.17
Lampung,IUPHHK HTI,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Veneer,4190.73
Maluku,Hutan Produksi,Kayu Perkebunan,Jenis Khusus,Kayu Gergajian,Bangunan Prefabrikasi,424.42
Maluku Utara,IUPHHK HTI,Kayu Alam,Kelompok Meranti,Kayu Gergajian,Veneer,698.84
Papua,IUPHHK RE,Limbah,Kayu Eboni,Kayu Gergajian,Bangunan Prefabrikasi,10490.18
Papua Barat,HKM HD HTR,Setengah Jadi,Kelompok Meranti,Kayu Gergajian,Kerajinan,7779.57
Riau,Hutan Lindung,Setengah Jadi,Jenis Kayu Lainnya,Kayu Gergajian,Furnitur Kayu,6839.0
Sulawesi Selatan,HKM HD Kemitraan,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Woodworking,1248.23
Sulawesi Tengah,HKM HD Kemitraan,Kayu Alam,Jenis Kayu Lainnya,Kayu Gergajian,Pulp,3530.81
Sulawesi Tenggara,HKM HD HTR,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Gergajian,Bangunan Prefabrikasi,2005.63
Sumatera Barat,HKM HD Kemitraan,Kayu Perkebunan,Rimba Campuran,Kayu Gergajian,Paper,425.73
Sumatera Selatan,IUPHHK HTI,Kayu Perkebunan,Kayu Eboni,Kayu Gergajian,Kerajinan,2075.51
Sumatera Utara,IUPHHK HTI,Setengah Jadi,Kayu Eboni,Kayu Gergajian,Woodworking,20616.1
Bali,IUPHHK HA,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Panel,459.56
Banten,UPHHK HTR,Kayu Perkebunan,Rimba Campuran,Kayu Lapis dan LVL,Chipwood,17897.23
Bengkulu,Hutan Lindung,Kayu Perkebunan,Kayu Indah,Kayu Lapis dan LVL,Paper,65.19
Jambi,Hutan Lindung,Limbah,Kelompok Meranti,Kayu Lapis dan LVL,Kerajinan,12407.06
Jawa Barat,Hutan Produksi,Kayu Perkebunan,Kelompok Meranti,Kayu Lapis dan LVL,Bangunan Prefabrikasi,4895.92
Jawa Tengah,IUPHHK HTI,Kayu Tanaman,Kelompok Meranti,Kayu Lapis dan LVL,Woodworking,88820.25
Jawa Timur,IUPHHK HTI,Kayu Perkebunan,Kelompok Meranti,Kayu Lapis dan LVL,Paper,100618.77
Kalimantan Barat,Hutan Produksi,Kayu Alam,Kelompok Meranti,Kayu Lapis dan LVL,Woodworking,20908.69
Kalimantan Selatan,HKM HD Kemitraan,Setengah Jadi,Kelompok Meranti,Kayu Lapis dan LVL,Kerajinan,34714.36
Kalimantan Tengah,HKM HD Kemitraan,Limbah,Rimba Campuran,Kayu Lapis dan LVL,Woodworking,0.0
Kalimantan Timur,IUPHHK RE,Setengah Jadi,Kelompok Meranti,Kayu Lapis dan LVL,Chipwood,39799.32
Kalimantan Utara,IUPHHK HTI,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Bangunan Prefabrikasi,12909.72
Lampung,IUPHHK HA,Setengah Jadi,Hutan Tanaman Industri,Kayu Lapis dan LVL,Chipwood,1561.61
Maluku,IUPHHK RE,Limbah,Jenis Khusus,Kayu Lapis dan LVL,Woodworking,214.78
Nusa Tenggara Barat,HKM HD HTR,Setengah Jadi,Rimba Campuran,Kayu Lapis dan LVL,Woodworking,147.18
Papua,IUPHHK RE,Kayu Perkebunan,Jenis Khusus,Kayu Lapis dan LVL,Pulp,16238.68
Papua Barat,Hutan Lindung,Kayu Tanaman,Jenis Kayu Lainnya,Kayu Lapis dan LVL,Veneer,0.0
Riau,UPHHK HTR,Limbah,Kayu Indah,Kayu Lapis dan LVL,Bangunan Prefabrikasi,5151.68
Sulawesi Selatan,Hutan Lindung,Kayu Tanaman,Hutan Tanaman Industri,Kayu Lapis dan LVL,Bangunan Prefabrikasi,10431.64
Sulawesi Tengah,HKM HD HTR,Limbah,Rimba Campuran,Kayu Lapis dan LVL,Bangunan Prefabrikasi,0.0
Sumatera Selatan,IUPHHK HTI,Kayu Perkebunan,Kayu Indah,Kayu Lapis dan LVL,Pulp,3026.95
Sumatera Utara,IUPHHK RE,Setengah Jadi,Kelompok Meranti,Kayu Lapis dan LVL,Chipwood,4239.67
Bali,HKM HD HTR,Kayu Perkebunan,Kayu Eboni,Kayu Lapis dan LVL,Chipwood,508.68
Banten,Hutan Produksi,Kayu Tanaman,Rimba Campuran,Kayu Lapis dan LVL,Pulp,15903.03
Bengkulu,Hutan Lindung,Setengah Jadi,Jenis Khusus,Kayu Lapis dan LVL,Veneer,189.77
Jambi,HKM HD Kemitraan,Limbah,Rimba Campuran,Kayu Lapis dan LVL,Furnitur Kayu,11376.24
Jawa Barat,IUPHHK HTI,Kayu Tanaman,Kayu Eboni,Kayu Lapis dan LVL,Panel,4615.06
Jawa Tengah,UPHHK HTR,Setengah Jadi,Hutan Tanaman Industri,Kayu Lapis dan LVL,Paper,82788.69
